Age_group,State,Gender,Year,Total
15-29,NAGALAND,Female,2010,3
15-29,NAGALAND,Female,2011,18
15-29,NAGALAND,Female,2012,12
15-29,NAGALAND,Male,2001,24
15-29,NAGALAND,Male,2002,6
15-29,NAGALAND,Male,2003,17
15-29,NAGALAND,Male,2004,30
15-29,NAGALAND,Male,2005,12
15-29,NAGALAND,Male,2006,27
15-29,NAGALAND,Male,2007,12
15-29,NAGALAND,Male,2008,6
15-29,NAGALAND,Male,2009,36
15-29,NAGALAND,Male,2010,12
15-29,NAGALAND,Male,2011,18
15-29,NAGALAND,Male,2012,33
15-29,ODISHA,Female,2001,2643
15-29,ODISHA,Female,2002,2349
15-29,ODISHA,Female,2003,2406
15-29,ODISHA,Female,2004,2355
15-29,ODISHA,Female,2005,2058
15-29,ODISHA,Female,2006,2241
15-29,ODISHA,Female,2007,2634
15-29,ODISHA,Female,2008,2160
15-29,ODISHA,Female,2009,2349
15-29,ODISHA,Female,2010,2559
15-29,ODISHA,Female,2011,2616
15-29,ODISHA,Female,2012,2487
15-29,ODISHA,Male,2001,2124
15-29,ODISHA,Male,2002,2556
15-29,ODISHA,Male,2003,2778
15-29,ODISHA,Male,2004,2241
15-29,ODISHA,Male,2005,2178
15-29,ODISHA,Male,2006,2223
15-29,ODISHA,Male,2007,2328
15-29,ODISHA,Male,2008,3132
15-29,ODISHA,Male,2009,2538
15-29,ODISHA,Male,2010,2391
15-29,ODISHA,Male,2011,3048
15-29,ODISHA,Male,2012,2601
15-29,PUDUCHERRY,Female,2001,360
15-29,PUDUCHERRY,Female,2002,222
15-29,PUDUCHERRY,Female,2003,378
15-29,PUDUCHERRY,Female,2004,291
15-29,PUDUCHERRY,Female,2005,303
15-29,PUDUCHERRY,Female,2006,309
15-29,PUDUCHERRY,Female,2007,360
15-29,PUDUCHERRY,Female,2008,315
15-29,PUDUCHERRY,Female,2009,309
15-29,PUDUCHERRY,Female,2010,297
15-29,PUDUCHERRY,Female,2011,258
15-29,PUDUCHERRY,Female,2012,219
15-29,PUDUCHERRY,Male,2001,246
15-29,PUDUCHERRY,Male,2002,294
15-29,PUDUCHERRY,Male,2003,342
15-29,PUDUCHERRY,Male,2004,246
15-29,PUDUCHERRY,Male,2005,225
15-29,PUDUCHERRY,Male,2006,252
15-29,PUDUCHERRY,Male,2007,219
15-29,PUDUCHERRY,Male,2008,270
15-29,PUDUCHERRY,Male,2009,273
15-29,PUDUCHERRY,Male,2010,210
15-29,PUDUCHERRY,Male,2011,279
15-29,PUDUCHERRY,Male,2012,276
15-29,PUNJAB,Female,2001,447
15-29,PUNJAB,Female,2002,192
15-29,PUNJAB,Female,2003,168
15-29,PUNJAB,Female,2004,174
15-29,PUNJAB,Female,2005,126
15-29,PUNJAB,Female,2006,237
15-29,PUNJAB,Female,2007,336
15-29,PUNJAB,Female,2008,318
15-29,PUNJAB,Female,2009,321
15-29,PUNJAB,Female,2010,312
15-29,PUNJAB,Female,2011,348
15-29,PUNJAB,Female,2012,363
15-29,PUNJAB,Male,2001,387
15-29,PUNJAB,Male,2002,450
15-29,PUNJAB,Male,2003,642
15-29,PUNJAB,Male,2004,558
15-29,PUNJAB,Male,2005,492
15-29,PUNJAB,Male,2006,648
15-29,PUNJAB,Male,2007,708
15-29,PUNJAB,Male,2008,612
15-29,PUNJAB,Male,2009,690
15-29,PUNJAB,Male,2010,777
15-29,PUNJAB,Male,2011,822
15-29,PUNJAB,Male,2012,897
15-29,RAJASTHAN,Female,2001,1872
15-29,RAJASTHAN,Female,2002,1740
15-29,RAJASTHAN,Female,2003,1803
15-29,RAJASTHAN,Female,2004,1626
15-29,RAJASTHAN,Female,2005,1722
15-29,RAJASTHAN,Female,2006,1827
15-29,RAJASTHAN,Female,2007,1632
15-29,RAJASTHAN,Female,2008,1974
15-29,RAJASTHAN,Female,2009,2130
15-29,RAJASTHAN,Female,2010,2103
15-29,RAJASTHAN,Female,2011,1911
15-29,RAJASTHAN,Female,2012,2223
15-29,RAJASTHAN,Male,2001,2031
15-29,RAJASTHAN,Male,2002,2151
15-29,RAJASTHAN,Male,2003,2472
15-29,RAJASTHAN,Male,2004,2553
15-29,RAJASTHAN,Male,2005,2796
15-29,RAJASTHAN,Male,2006,2748
15-29,RAJASTHAN,Male,2007,3189
15-29,RAJASTHAN,Male,2008,3486
15-29,RAJASTHAN,Male,2009,3480
15-29,RAJASTHAN,Male,2010,3279
15-29,RAJASTHAN,Male,2011,3447
15-29,RAJASTHAN,Male,2012,3258
15-29,SIKKIM,Female,2001,42
15-29,SIKKIM,Female,2002,33
15-29,SIKKIM,Female,2003,27
15-29,SIKKIM,Female,2004,0
15-29,SIKKIM,Female,2005,42
15-29,SIKKIM,Female,2006,78
15-29,SIKKIM,Female,2007,57
15-29,SIKKIM,Female,2008,78
15-29,SIKKIM,Female,2009,171
15-29,SIKKIM,Female,2010,39
15-29,SIKKIM,Female,2011,96
15-29,SIKKIM,Female,2012,105
15-29,SIKKIM,Male,2001,81
15-29,SIKKIM,Male,2002,45
15-29,SIKKIM,Male,2003,75
15-29,SIKKIM,Male,2004,0
15-29,SIKKIM,Male,2005,78
15-29,SIKKIM,Male,2006,147
15-29,SIKKIM,Male,2007,123
15-29,SIKKIM,Male,2008,210
15-29,SIKKIM,Male,2009,195
15-29,SIKKIM,Male,2010,294
15-29,SIKKIM,Male,2011,116
15-29,SIKKIM,Male,2012,105
15-29,TAMIL NADU,Female,2001,5106
15-29,TAMIL NADU,Female,2002,5577
15-29,TAMIL NADU,Female,2003,5232
15-29,TAMIL NADU,Female,2004,5442
15-29,TAMIL NADU,Female,2005,5205
15-29,TAMIL NADU,Female,2006,5985
15-29,TAMIL NADU,Female,2007,6306
15-29,TAMIL NADU,Female,2008,6645
15-29,TAMIL NADU,Female,2009,6231
15-29,TAMIL NADU,Female,2010,7512
15-29,TAMIL NADU,Female,2011,7257
15-29,TAMIL NADU,Female,2012,7641
15-29,TAMIL NADU,Male,2001,6345
15-29,TAMIL NADU,Male,2002,5979
15-29,TAMIL NADU,Male,2003,5895
15-29,TAMIL NADU,Male,2004,6060
15-29,TAMIL NADU,Male,2005,5898
15-29,TAMIL NADU,Male,2006,5988
15-29,TAMIL NADU,Male,2007,6933
15-29,TAMIL NADU,Male,2008,7689
15-29,TAMIL NADU,Male,2009,7083
15-29,TAMIL NADU,Male,2010,8898
15-29,TAMIL NADU,Male,2011,8208
15-29,TAMIL NADU,Male,2012,8289
15-29,TRIPURA,Female,2001,324
15-29,TRIPURA,Female,2002,381
15-29,TRIPURA,Female,2003,420
15-29,TRIPURA,Female,2004,549
15-29,TRIPURA,Female,2005,522
15-29,TRIPURA,Female,2006,504
15-29,TRIPURA,Female,2007,348
15-29,TRIPURA,Female,2008,429
15-29,TRIPURA,Female,2009,474
15-29,TRIPURA,Female,2010,324
15-29,TRIPURA,Female,2011,399
15-29,TRIPURA,Female,2012,348
